	MG1655-1	PUTR3-1_1	PUTR4-3_1	PUTR5-6_1	PUTR7-7_1	PUTR8-10_1	proV-1	cspC-1	MG1655-2	PUTR3-1_2	PUTR4-3_2	PUTR5-6_2	PUTR7-7_2	PUTR8-10_2	proV-2	cspC-2	MG1655-3	PUTR3-1_3	PUTR4-3_3	PUTR5-6_3	PUTR7-7_3	PUTR8-10_3	proV-3	cspC-3	ptsP-1	wbbK-1	proV_cspC-1	proV_nagC-1	proV_ptsP-1	proV_wbbK-1	proV_ptsP_wbbK-1	proV_ptsP_nagC-1	ptsP-2	wbbK-2	proV_cspC-2	proV_nagC-2	proV_ptsP-2	proV_wbbK-2	proV_ptsP_wbbK-2	proV_ptsP_nagC-2	ptsP-3	wbbK-3	proV_cspC-3	proV_nagC-3	proV_ptsP-3	proV_wbbK-3	proV_ptsP_wbbK-3	proV_ptsP_nagC-3
33.67553	5.41	32.281	30.417	40.273	34.621	64.112	4.759	10.164	6.242	32.597	29.538	40.853	33.675	64.925	4.757	11.851	5.547	34.158	30.001	41.249	34.239	66.588	4.343	9.206	2.979	5.27	5.644	5.546	4.461	7.303	5.333	2.784	2.481	3.817	4.689	4.651	3.845	8.182	4.535	2.072	2.311	2.784	2.013	1.697	1.91	2.564	3.365	2.145
33.84209	5.572	32.665	30.825	40.07	34.679	64.422	4.945	10.41	6.351	33.117	29.107	41.33	33.543	65.428	4.917	12.348	5.656	34.189	30.138	41.424	34.323	66.874	4.502	9.752	3.005	5.298	5.615	5.681	4.43	7.631	5.347	2.807	2.64	3.922	4.933	4.815	3.897	8.211	4.697	2.174	2.414	2.644	2.18	1.724	2.018	2.589	3.633	2.083
34.00881	5.538	33.676	31.296	40.712	34.71	64.461	4.833	10.59	6.397	33.121	29.518	40.858	33.792	65.763	4.912	12.764	5.647	33.703	29.847	41.064	34.736	67.127	4.336	9.632	3.106	5.316	5.717	5.645	4.616	7.539	5.455	2.831	2.609	3.891	5.468	4.696	3.864	8.281	4.853	2.146	2.386	2.641	2.085	1.824	2.119	2.691	3.657	2.193
34.17562	5.741	33.243	30.861	40.284	34.712	64.807	5.117	10.821	6.492	33.15	29.983	41.871	33.93	66.056	5.087	13.081	5.633	33.841	29.847	41.505	34.629	67.42	4.673	9.918	3.065	5.275	5.893	5.795	4.574	7.716	5.585	3.006	2.648	3.957	5.101	4.791	4.039	8.459	5.002	2.293	2.451	2.87	2.1	1.865	2.051	2.731	3.75	2.067
34.34223	5.701	32.86	31.759	40.712	35.091	65.032	5.105	10.97	6.397	33.638	29.654	41.483	34.254	66.986	5.157	13.063	5.728	34.192	29.766	41.825	34.573	67.698	4.716	9.958	3.133	5.425	6.152	5.809	4.779	7.756	5.781	2.94	2.718	3.972	5.332	4.886	4.163	8.607	4.935	2.201	2.522	2.804	2.248	1.851	2.201	2.691	3.901	2.274
34.50891	5.803	33.565	31.588	40.976	35.308	65.395	5.146	11.132	6.473	33.691	30.935	41.474	33.926	66.538	5.12	13.646	5.915	34.818	30.111	41.866	34.597	68.04	4.786	10.42	3.181	5.529	6.255	5.858	4.932	7.972	5.886	3.037	2.761	4.016	5.518	4.911	4.291	8.58	5.063	2.403	2.506	3.118	2.141	1.82	2.249	2.765	3.945	2.311
34.67567	5.809	33.703	31.731	40.902	34.928	65.385	5.404	11.514	6.56	32.985	30.116	41.347	34.091	66.769	5.129	13.851	5.783	34.355	29.657	41.906	34.899	68.16	4.743	10.556	3.269	5.506	6.397	5.781	5.024	7.865	6.053	3.157	2.854	3.945	5.713	4.859	4.435	8.661	5.234	2.228	2.44	2.858	2.248	1.824	2.228	2.718	3.983	2.22
34.84223	5.823	33.215	31.596	41.019	35.311	65.704	5.525	11.583	6.655	33.749	30.255	42.034	34.12	66.899	5.387	13.788	5.824	34.63	30.772	41.94	34.711	68.345	4.836	10.843	3.228	5.574	6.464	5.822	5.063	8.042	6.238	3.114	2.947	4.038	5.591	4.955	4.42	8.758	5.41	2.238	2.56	2.87	2.263	1.919	2.404	2.976	4.103	2.284
35.00888	6.231	33.623	32.194	40.692	35.392	66.031	5.47	12.1	6.764	33.613	30.935	41.789	34.256	67.416	5.414	14.468	5.905	34.711	30.854	42.266	35.119	68.698	4.891	11.061	3.391	5.574	6.736	6.04	5.199	8.097	6.047	3.169	3.029	4.12	5.917	4.9	4.502	8.867	5.355	2.32	2.777	2.788	2.345	1.865	2.241	2.976	4.076	2.393
35.1756	6.257	33.927	31.896	41.089	35.288	66.126	5.629	12.375	6.791	33.835	30.806	41.859	34.424	67.16	5.521	14.75	6.151	34.199	31.018	42.524	35.014	68.933	4.941	11.608	3.417	5.71	7.009	5.985	5.251	8.126	6.416	3.138	3.052	4.171	6.108	5.147	4.609	9.06	5.627	2.314	2.717	2.893	2.43	1.947	2.486	2.92	4.291	2.386
35.34241	6.13	33.729	33.277	40.976	35.716	66.593	5.8	12.685	6.991	34.1	31.425	41.964	34.526	67.628	5.638	14.844	6.105	36.316	30.955	42.465	35.196	69.129	5.031	11.509	3.481	5.72	7.072	6.076	5.395	8.135	6.431	3.146	3.169	4.098	6.254	5.02	4.808	9.125	5.69	2.403	2.833	2.819	2.386	1.983	2.44	2.928	4.353	2.338
35.509	6.266	33.565	32.705	41.303	35.716	66.566	6.045	12.93	6.964	34.154	30.826	42.237	34.771	67.601	5.692	15.253	6.242	35.063	31.2	42.628	35.414	69.456	5.113	11.891	3.508	5.856	7.236	6.158	5.641	8.38	6.621	3.2	3.169	4.343	6.58	5.184	4.863	9.206	5.717	2.43	2.724	2.764	2.359	1.983	2.413	2.928	4.435	2.42
35.67584	6.176	34.553	32.74	40.844	35.288	66.861	5.793	12.838	7.036	34.134	31.623	42.431	34.806	68.494	5.63	15.513	6.259	34.771	31.318	42.524	35.095	69.695	5.187	12.37	3.581	5.956	7.335	6.148	5.714	8.398	6.961	3.192	3.379	4.253	6.571	5.229	5.099	9.305	6.035	2.477	2.799	2.893	2.621	1.947	2.513	3.001	4.454	2.495
35.84245	6.38	34.953	33.335	40.902	35.689	66.826	6.03	13.145	7.022	35.051	32.046	41.999	34.96	68.264	5.891	16.108	6.353	34.763	31.424	42.831	35.579	69.736	5.151	12.051	3.677	5.914	7.62	6.108	5.703	8.49	6.597	3.103	3.343	4.353	6.719	5.131	5.114	9.341	6.131	2.391	2.848	2.994	2.492	2.014	2.527	3.017	4.635	2.356
36.00909	6.362	35.387	34.092	41.649	35.469	68.152	6.088	13.54	7.195	35.077	31.993	42.61	34.741	68.505	6.006	15.996	6.391	34.924	32.561	42.894	35.548	70.114	5.4	12.801	3.821	5.951	7.794	6.253	5.9	8.448	6.927	3.27	3.484	4.385	6.757	5.142	5.231	9.382	6.276	2.419	3.04	3.052	2.616	2.214	2.645	3.16	4.831	2.491
36.17586	6.403	35.003	33.9	41.668	35.602	67.26	6.294	13.688	7.018	35.102	32.261	42.493	34.63	68.7	6.102	16.603	6.322	35.139	32.287	42.561	35.71	69.955	5.47	12.785	3.781	5.937	8.051	6.157	5.942	8.678	6.796	3.204	3.526	4.536	6.96	5.236	5.381	9.53	6.235	2.49	2.948	3.013	2.518	1.956	2.685	3.202	4.982	2.536
36.34251	6.444	35.142	34.092	41.84	35.714	67.58	6.551	14.003	7.277	34.805	32.565	42.447	34.959	68.668	6.17	16.922	6.418	35.768	32.044	42.812	35.63	70.278	5.591	13.209	3.876	6.114	8.066	6.334	6.118	8.638	7.417	3.27	3.566	4.494	7.22	5.305	5.503	9.763	6.493	2.583	3.04	3.025	2.752	2.106	2.781	3.296	5.022	2.546
36.50919	6.525	35.502	34.587	41.993	36.019	67.813	6.602	14.499	7.386	35.52	32.765	42.681	35.101	68.904	6.332	16.989	6.61	36.401	33.028	42.962	35.553	70.596	5.615	13.705	3.984	6.061	8.313	6.335	6.307	8.667	7.542	3.239	3.672	4.492	7.303	5.58	5.666	9.794	6.794	2.577	3.117	3.157	2.92	2.133	2.835	3.268	5.238	2.593
36.67588	6.498	35.197	34.718	42.003	36.313	68.152	6.769	14.466	7.386	35.132	33.082	42.501	34.823	68.967	6.252	17.548	6.663	36.939	32.915	42.594	35.821	70.768	5.537	13.808	3.957	6.196	8.774	6.334	6.309	8.774	7.907	3.433	3.811	4.685	7.546	5.387	5.748	10.008	6.847	2.664	3.204	3.025	2.833	2.133	3.026	3.324	5.321	2.736
36.84249	6.675	35.206	35.134	41.947	36.24	68.108	6.969	15.279	7.482	35.714	32.796	42.771	35.076	69.417	6.563	18.346	6.761	36.296	32.893	42.778	35.5	71.192	5.9	14.022	4.025	6.211	8.982	6.458	6.511	9.009	8.137	3.387	3.902	4.586	7.809	5.431	5.87	10.082	7.298	2.588	3.482	3.005	2.963	2.256	3.067	3.363	5.442	2.849
37.0091	6.625	35.488	35.39	41.768	36.386	68.233	7.055	15.721	7.76	35.506	33.189	42.865	35.277	69.516	6.65	18.353	6.711	36.388	33.585	43.335	35.837	71.264	5.877	14.437	4.03	6.379	9.15	6.462	6.652	8.851	7.818	3.391	3.933	4.835	7.76	5.382	6.039	10.251	7.112	2.755	3.377	3.091	3.05	2.179	3.017	3.531	5.5	2.662
37.1759	6.762	35.898	35.663	42.15	36.386	68.424	7.055	16.403	7.596	35.997	33.162	42.619	35.496	69.679	6.513	18.517	6.847	36.933	33.312	43.608	35.865	71.264	5.986	14.518	4.084	6.379	9.341	6.462	7.007	9.151	8.063	3.5	3.933	4.726	8.087	5.545	6.202	10.333	7.631	2.755	3.459	3.091	3.186	2.261	3.263	3.585	5.664	2.852
37.34262	6.966	36.194	36.287	41.405	36.438	68.838	7.097	16.059	7.582	35.721	33.62	43.211	35.329	70.12	6.718	18.796	6.86	36.439	33.364	43.137	35.917	71.322	6.11	14.883	4.152	6.447	9.408	6.503	6.884	9.136	8.368	3.379	4.221	4.823	8.317	5.503	6.27	10.399	7.671	2.744	3.611	3.379	3.007	2.329	3.221	3.49	5.897	2.897
37.50923	6.921	35.478	35.707	41.374	36.812	68.817	7.405	16.289	7.673	36.232	34.16	42.962	35.595	69.799	6.836	19.301	7.115	36.705	33.875	43.242	36.182	71.765	6.227	15.331	4.325	6.456	9.582	6.512	7.138	9.173	8.001	3.551	4.229	4.831	8.409	5.622	6.498	10.464	8.035	2.697	3.782	3.169	3.099	2.338	3.313	3.581	5.933	2.822
37.6759	6.898	36.163	35.902	42.514	36.598	69.47	7.466	16.641	7.731	36.508	34.378	42.848	35.544	70.096	7.086	19.755	7.145	36.817	34.016	43.294	36.269	72.061	6.288	15.574	4.33	6.514	10.129	6.68	7.307	9.148	8.209	3.476	4.29	4.892	8.602	5.652	6.665	10.519	8.092	2.842	3.872	3.231	3.263	2.369	3.398	3.668	6.156	2.832
37.84253	6.966	36.549	36.696	42.468	36.547	68.947	7.915	16.986	7.8	36.212	34.466	43.265	35.711	70.038	6.991	20.268	7.187	36.33	34.046	43.137	36.462	71.976	6.274	15.728	4.398	6.638	10.308	6.667	7.62	9.299	8.559	3.543	4.521	4.905	8.862	5.749	6.734	10.808	8.243	2.826	3.884	3.325	3.197	2.302	3.549	3.736	6.251	2.978
38.00935	6.979	36.354	36.175	42.569	37.007	69.334	8.12	17.485	7.949	36.426	34.297	43.42	36.034	70.314	7.25	20.545	7.173	37.607	34.234	43.784	36.514	72.089	6.533	15.71	4.548	6.678	10.374	6.68	7.797	9.312	8.509	3.64	4.617	5.028	9.092	5.679	6.992	10.683	8.474	2.897	4.036	3.231	3.427	2.369	3.643	3.913	6.456	3.077
38.17598	7.225	37.607	36.692	42.323	37.552	69.47	8.202	17.485	8.004	37.379	34.596	43.584	36.034	70.342	7.495	21.199	7.254	37.852	34.861	43.539	36.841	72.17	6.615	16.337	4.575	6.76	10.864	6.816	7.961	9.53	8.863	3.558	4.753	5.11	9.283	5.815	7.128	10.928	8.664	2.815	4.145	3.367	3.399	2.533	3.807	3.968	6.728	3.077
38.34269	7.21	37.004	36.907	42.451	37.657	69.857	8.298	17.522	8.071	37.021	35.108	43.139	36.194	70.291	7.726	21.286	7.24	37.902	34.831	43.395	36.974	72.391	6.793	16.401	4.643	6.854	10.984	6.829	8.11	9.514	8.731	3.655	4.85	5.125	9.321	5.8	7.359	11.075	8.949	2.913	4.215	3.301	3.465	2.546	3.847	3.818	6.796	3.121
38.5094	7.335	36.915	37.007	42.386	37.648	69.942	8.555	18.078	8.144	37.397	35.165	43.783	36.567	70.709	7.851	21.7	7.45	38.198	35.611	44.332	37.153	72.786	6.939	17.229	4.794	6.927	11.065	7.064	8.426	9.809	8.764	3.715	4.996	5.188	9.346	5.985	7.677	11.266	9.435	3.105	4.437	3.497	3.628	2.535	4.11	4.103	7.11	3.256
38.676	7.633	37.117	38.055	42.895	37.416	69.906	8.91	18.739	8.222	36.943	35.441	43.747	36.389	70.805	8.067	21.908	7.636	37.77	35.161	43.92	37.195	72.743	6.86	17.236	4.793	6.787	11.191	6.843	8.451	9.829	9.517	3.558	5.162	5.273	9.855	5.897	7.782	11.364	9.564	3.006	4.472	3.395	3.672	2.56	4.052	3.968	7.11	3.459
38.84278	7.66	37.771	37.374	42.596	37.879	69.852	8.365	19.365	8.303	37.788	35.713	43.802	36.852	70.996	8.258	22.317	7.636	38.07	35.896	44.52	37.25	72.988	7.133	17.427	5.011	7.032	11.845	7.088	8.778	10.129	10.089	3.64	5.326	5.301	10.1	6.006	7.946	11.527	10.054	3.088	4.635	3.367	3.645	2.614	4.352	4.131	7.437	3.213
39.00943	7.632	37.789	37.747	42.986	37.898	70.406	8.72	19.925	8.356	37.779	36.218	44.083	36.926	71.302	8.638	22.869	7.715	38.306	35.835	44.395	37.189	72.966	7.488	17.689	4.983	7.085	11.894	7.06	9.022	10.207	10.396	3.779	5.463	5.438	10.312	6.03	8.107	11.494	10.322	3.12	4.639	3.262	3.721	2.586	4.35	4.104	7.572	3.546
39.17618	7.56	37.565	37.986	43.01	38.11	70.384	8.783	21.082	8.393	38.426	35.669	44.189	37.328	71.254	8.675	23.62	7.725	38.273	36.1	44.337	37.89	73.273	7.687	18.11	5.101	7.149	12.095	7.07	9.521	10.598	11.147	3.733	5.635	5.284	10.405	6.068	8.28	11.587	10.605	3.155	4.892	3.352	3.895	2.677	4.578	4.222	7.799	3.444
39.34274	7.805	38.682	37.986	43.283	38.491	71.147	9.056	21.218	8.447	38.807	36.268	44.189	37.518	71.282	9.056	23.81	7.725	38.491	37.135	44.419	37.563	73.409	7.66	18.627	5.237	7.312	12.259	7.151	9.739	11.034	11.637	3.815	5.88	5.501	10.868	6.231	8.607	11.914	10.85	3.291	5.055	3.433	3.977	2.786	4.795	4.222	8.207	3.472
39.50957	7.878	38.452	38.136	43.168	38.778	70.669	9.346	22.09	8.549	38.006	35.931	44.238	37.642	71.513	9.239	24.169	7.963	39.024	36.523	44.956	38.094	73.424	8.032	18.844	5.365	7.414	12.581	7.306	10.113	11.192	13.141	3.912	5.843	5.709	11.054	6.17	8.845	12.1	11.171	3.306	5.235	3.558	3.999	2.723	4.761	4.458	8.308	3.704
39.67609	7.931	39.585	39.434	43.258	38.497	70.596	9.618	20.361	8.519	38.323	36.245	44.519	37.497	71.411	9.4	24.366	8.014	39.041	35.998	44.858	38.06	73.428	7.896	19.403	5.473	7.466	12.656	7.196	10.246	10.506	14.26	3.888	6.061	5.683	11.156	6.221	9.141	12.147	11.383	3.31	5.319	3.507	4.238	2.777	4.949	4.458	8.633	3.601
39.84288	8.012	39.515	38.68	43.911	39.131	70.753	9.451	21.007	8.846	39.069	36.915	44.844	37.777	71.681	9.891	25.247	8.179	39.323	37.066	44.824	38.664	73.838	8.3	19.722	5.525	7.52	13.537	7.249	10.848	10.346	14.792	4.014	6.33	5.813	11.546	6.277	9.362	12.21	11.772	3.434	5.61	3.551	4.326	2.884	5.249	4.563	8.905	3.885
40.00954	8.268	39.88	38.857	43.8	39.035	70.629	9.682	21.055	8.801	39.161	37.112	45.196	37.872	71.799	10.172	25.335	8.188	39.553	36.944	45.29	38.734	73.844	8.45	19.743	5.727	7.584	13.375	7.451	10.992	10.762	14.468	4.032	6.588	5.774	11.685	6.231	9.56	12.376	11.911	3.536	5.926	3.597	4.276	2.922	5.394	4.631	9.188	3.771
40.1763	8.08	39.716	38.967	43.82	39.282	70.627	10.23	21.946	8.94	39.188	36.756	45.081	38.608	71.958	9.657	25.81	8.244	40.124	36.837	45.013	38.709	74.002	8.563	20.852	5.866	7.641	14.162	7.454	11.129	10.681	12.765	4.175	6.673	5.888	11.982	6.532	9.86	12.511	12.373	3.381	5.715	3.658	4.249	3.062	5.369	4.662	9.407	3.78
40.34288	8.351	40.164	39.575	43.901	39.344	71.384	10.446	22.131	9.158	39.418	36.553	45.053	38.508	71.984	9.876	26.23	8.409	39.809	37.171	45.797	38.524	74.058	8.941	21.365	5.92	7.778	14.146	7.589	11.486	11.066	11.686	4.057	6.861	5.963	12.21	6.425	10.245	12.765	12.654	3.586	5.761	3.702	4.364	3.006	5.752	4.876	9.654	3.956
40.50963	8.45	40.045	39.099	44.148	39.113	70.881	10.817	23.069	9.013	39.817	37.529	45.082	38.687	72.139	10.331	26.58	8.4	39.989	37.43	45.003	39.0	74.298	9.365	21.619	6.045	7.878	14.637	7.55	11.835	10.596	12.415	4.257	6.931	5.894	12.673	6.526	10.458	12.872	13.225	3.593	6.044	3.684	4.606	3.076	5.771	4.918	10.028	4.071
40.67633	8.634	40.69	39.579	43.952	39.456	71.441	11.274	24.109	9.115	40.135	37.794	44.967	38.894	72.618	9.997	27.107	8.503	41.044	37.718	45.296	39.042	74.286	9.466	21.976	6.174	7.898	15.208	7.624	12.075	10.699	12.777	4.219	7.332	6.021	12.915	6.492	10.808	13.059	13.495	3.554	6.307	3.672	4.683	3.013	6.065	5.1	10.322	4.141
40.84297	8.649	40.888	39.284	44.016	39.761	71.41	11.316	25.416	9.157	39.977	37.911	45.879	38.68	72.342	10.121	27.652	8.573	40.64	37.75	45.551	39.21	74.503	9.809	22.763	6.435	7.995	15.227	7.803	12.42	10.906	13.458	4.368	7.511	6.116	13.371	6.644	11.098	13.077	13.978	3.784	6.43	3.794	4.782	3.083	6.162	5.087	10.584	4.234
41.00962	8.587	42.0	39.327	44.148	39.832	71.423	11.418	25.255	9.232	41.308	37.575	45.792	39.244	72.411	10.552	27.989	8.703	41.615	37.657	45.516	39.417	74.656	10.403	22.574	6.619	8.18	15.69	7.932	13.181	11.475	14.067	4.467	7.776	6.353	13.888	6.61	11.421	13.346	14.44	3.799	6.638	3.783	4.832	3.184	6.32	5.434	10.961	4.413
41.17643	8.886	41.482	40.477	44.512	40.05	71.864	11.69	24.993	9.258	41.775	37.961	45.937	39.134	72.718	10.853	28.664	8.948	41.754	38.121	45.521	39.798	74.827	10.401	22.638	6.645	8.315	15.968	7.792	13.237	12.188	15.289	4.433	8.075	6.293	13.892	6.855	11.887	13.896	14.8	3.846	6.852	3.721	5.025	3.373	6.675	5.458	11.317	4.514
41.34299	8.942	42.421	39.946	44.64	40.123	72.219	12.128	25.526	9.477	41.51	37.857	45.819	39.26	72.685	11.178	28.765	8.974	41.628	38.522	45.823	39.956	74.981	10.703	22.93	6.81	8.315	16.275	7.878	13.473	12.671	16.975	4.366	8.132	6.413	14.256	6.853	11.96	14.019	15.11	3.921	7.164	3.848	5.097	3.213	6.89	5.573	11.611	4.454
41.50969	9.081	42.052	40.449	44.852	40.352	71.912	12.569	26.256	9.672	41.77	37.818	45.949	39.517	72.789	11.893	29.339	9.333	42.106	38.341	45.976	39.965	74.951	10.898	23.33	7.059	8.318	17.052	8.044	13.754	13.608	18.207	4.61	8.435	6.604	14.65	6.939	12.459	14.465	15.476	4.026	7.191	3.762	5.186	3.406	7.114	5.656	12.0	4.64
41.67651	9.22	43.006	40.53	45.253	40.653	71.909	12.46	25.971	9.536	42.696	37.705	46.159	39.708	72.894	11.675	29.484	9.198	42.568	38.123	46.026	40.212	75.08	11.091	24.549	7.225	8.374	17.402	8.156	14.271	13.824	16.684	4.671	8.629	6.909	15.355	6.94	12.839	14.626	16.181	4.088	7.496	4.016	5.349	3.545	7.333	5.824	12.191	4.73
41.84309	9.256	42.951	40.033	44.685	40.893	72.192	12.962	26.217	9.737	42.668	38.278	46.329	39.949	73.098	11.822	30.396	9.399	43.14	39.183	46.082	40.205	75.26	11.373	25.177	7.425	8.52	17.694	8.081	14.75	12.307	14.998	4.646	8.992	6.695	15.374	6.895	13.045	14.587	16.446	4.061	7.61	3.935	5.444	3.525	7.371	5.939	12.586	5.003
42.00982	9.205	43.68	40.006	45.297	40.893	72.049	13.209	26.794	9.685	42.552	38.598	46.394	40.167	73.251	12.122	30.767	9.537	42.861	39.101	46.208	40.098	75.573	11.758	24.963	7.673	8.632	18.446	8.223	15.154	12.851	15.128	4.822	9.269	6.786	15.336	7.061	13.641	15.18	16.653	4.104	7.974	3.894	5.577	3.558	7.78	6.055	13.129	4.965
42.17648	9.257	43.63	40.907	45.224	40.92	72.052	12.853	26.916	9.957	43.402	38.794	46.266	40.222	73.256	12.806	31.333	9.645	43.41	38.992	46.596	40.179	75.498	12.276	25.657	7.782	8.713	17.934	8.303	15.349	13.535	16.457	4.925	9.541	6.891	15.997	7.279	13.972	15.294	17.396	4.424	8.379	4.078	5.797	3.664	8.054	6.161	13.404	5.203
42.34319	9.45	43.981	40.552	45.843	40.866	72.649	13.045	27.667	10.203	43.234	38.98	46.913	40.112	73.415	13.023	31.476	9.755	43.679	39.429	45.99	40.18	75.573	12.577	26.109	8.11	8.768	18.692	8.36	15.837	11.814	16.711	5.013	9.76	7.141	16.537	7.143	14.132	15.18	17.854	4.24	8.465	3.921	5.877	3.64	8.19	6.382	13.566	5.374
42.50973	9.672	44.38	40.782	45.81	41.177	72.507	12.722	28.509	10.372	43.66	39.571	46.962	40.397	73.602	13.686	31.753	10.033	44.433	39.221	46.69	40.928	75.954	13.047	27.688	8.361	8.991	19.089	8.472	16.038	12.284	17.586	5.176	10.092	7.087	17.014	7.284	14.743	16.01	18.25	4.346	8.821	4.164	6.131	3.751	8.688	6.631	14.148	5.562
42.67649	9.774	44.953	40.936	45.514	41.551	72.36	13.427	29.432	10.42	43.931	39.679	47.159	40.662	73.706	13.821	32.442	10.082	44.841	38.992	46.964	40.779	76.006	13.425	26.339	8.765	9.093	19.645	8.544	17.08	12.828	18.356	5.324	10.469	7.293	17.624	7.304	15.101	15.904	18.943	4.464	8.865	4.201	6.13	3.796	8.904	6.703	14.476	5.516
42.84333	9.82	44.868	40.722	45.945	41.446	72.787	13.854	28.717	10.574	44.832	38.911	46.878	40.583	73.774	14.162	32.92	10.154	44.512	39.681	46.906	40.649	75.989	13.96	26.009	8.864	9.248	19.65	8.728	17.39	13.198	20.449	5.376	10.923	7.424	17.739	7.513	15.412	16.297	19.303	4.436	9.214	4.282	6.225	3.925	9.028	7.023	14.98	5.788
43.00985	10.0	44.817	40.864	45.92	41.587	72.425	14.526	29.301	10.481	44.48	39.243	47.29	40.916	73.902	14.779	33.283	10.307	45.034	39.331	46.772	40.955	76.008	13.894	28.18	9.044	9.319	20.1	8.827	17.705	13.459	18.789	5.449	11.049	7.551	17.397	7.421	15.809	16.42	19.617	4.674	9.532	4.383	6.377	3.97	9.29	7.041	15.35	5.808
43.17657	10.186	46.014	41.154	46.299	42.097	72.958	14.849	28.788	10.831	45.54	39.372	47.095	41.071	73.891	15.241	33.46	10.493	45.547	39.512	47.176	41.71	76.244	14.491	28.377	9.558	9.477	20.785	9.066	18.196	14.522	19.867	5.521	11.481	7.57	18.081	7.716	16.218	16.884	20.302	4.718	9.853	4.345	6.511	4.154	9.614	7.198	15.786	6.043
43.3432	10.902	45.293	41.468	45.719	41.754	72.898	15.486	29.277	10.781	46.216	39.088	47.61	41.111	74.161	15.771	34.013	10.499	46.305	40.509	46.73	41.393	76.27	14.964	28.154	9.674	9.619	20.884	9.179	18.757	15.9	20.501	5.657	11.844	7.653	18.589	7.638	16.75	17.335	20.702	4.824	10.129	4.315	6.766	4.212	9.923	7.42	16.098	6.177
43.50997	10.787	45.658	41.729	46.162	41.905	73.423	15.889	30.183	11.159	45.622	39.345	47.505	41.043	74.301	16.417	34.526	10.629	45.739	39.594	47.067	41.464	76.436	15.147	28.377	10.133	9.723	21.496	9.148	19.236	16.382	21.207	5.63	12.001	7.816	19.121	7.852	17.202	17.541	21.478	4.936	10.263	4.427	6.921	4.264	10.27	7.608	16.688	6.562
43.67664	10.973	46.084	41.143	46.231	42.441	73.406	16.648	31.131	11.235	46.294	39.361	47.821	41.196	74.42	16.219	34.79	10.979	46.383	40.102	47.137	41.535	76.527	15.524	29.572	10.346	9.8	23.212	9.389	19.721	15.282	20.951	5.653	12.378	7.976	20.098	7.956	17.633	17.534	21.936	5.042	10.641	4.669	7.051	4.34	10.51	7.767	17.037	6.531
43.84338	10.815	45.891	41.643	46.417	42.394	73.441	16.73	30.615	11.295	46.373	39.69	47.705	41.258	74.343	16.108	35.38	11.12	46.9	39.811	47.737	41.463	76.856	16.016	29.412	10.812	9.751	23.223	9.342	20.313	16.126	22.334	5.778	12.735	8.069	20.194	7.88	18.063	17.883	22.549	5.141	10.867	4.467	7.297	4.431	10.783	7.993	17.551	6.657
44.00999	11.126	46.668	41.532	46.927	42.366	73.458	17.487	31.733	11.69	46.385	39.643	48.051	41.422	74.638	17.169	35.696	11.325	47.186	39.807	47.529	41.65	76.8	16.281	29.899	11.047	10.008	23.728	9.569	20.891	13.549	22.787	6.159	13.08	8.209	20.476	7.973	18.611	18.293	22.944	5.382	11.368	4.49	7.453	4.52	11.158	8.302	18.151	6.899
44.1767	11.417	47.061	41.374	46.637	42.564	73.674	18.464	32.362	11.843	46.97	39.788	47.98	41.757	74.691	17.435	36.111	11.451	48.264	40.224	47.594	41.984	76.718	16.656	30.72	11.475	10.079	23.697	9.585	21.324	14.087	23.421	6.173	13.371	8.251	20.991	8.153	19.125	18.56	23.488	5.368	11.712	4.53	7.636	4.59	11.451	8.455	18.583	7.104
44.3434	11.728	47.023	41.697	47.364	42.256	73.896	19.293	31.65	12.045	46.851	39.998	48.051	41.723	74.638	17.196	36.106	11.598	47.678	40.19	47.721	42.087	76.882	17.184	30.939	11.704	10.227	23.344	9.76	22.123	13.412	24.648	6.296	13.791	8.483	21.734	8.055	19.46	18.785	24.011	5.437	11.888	4.517	7.809	4.575	11.842	8.85	19.0	7.337
44.51016	11.975	47.735	41.614	46.817	42.721	73.595	18.39	33.265	12.045	47.48	40.053	48.379	41.996	74.911	17.661	36.544	11.981	48.335	40.409	47.693	41.814	77.046	17.731	31.705	12.251	10.391	23.728	9.843	22.615	13.549	23.909	6.734	14.284	8.455	22.172	8.356	20.226	19.278	24.667	5.547	12.298	4.736	7.973	4.903	12.198	8.959	19.492	7.364
44.67675	12.105	47.55	41.602	47.778	42.79	74.228	18.407	32.034	12.339	47.541	39.899	48.001	42.009	74.886	17.895	37.164	12.138	48.669	39.987	48.029	41.884	76.965	18.02	31.705	12.487	10.467	24.828	9.975	23.335	14.17	24.719	6.925	14.711	8.754	22.262	8.35	20.591	19.536	25.465	5.822	12.702	4.711	8.072	4.954	12.651	9.364	19.86	7.721
44.84352	12.646	48.111	42.028	47.601	42.997	74.156	19.274	32.899	12.47	47.665	40.215	48.698	41.861	75.142	18.571	37.781	12.596	48.875	40.795	48.208	42.119	77.165	18.56	31.614	12.891	10.762	26.049	10.215	23.71	14.929	26.239	7.193	15.142	8.913	22.5	8.563	21.103	19.939	26.085	5.9	13.052	4.816	8.311	5.003	13.054	9.686	20.481	7.744
