	MG1655-1	12PD3-8_1	12PD4-6_1	12PD6-3_1	12PD7-6_1	metJ-1	relA-1	purT-1	MG1655-2	12PD3-8_2	12PD4-6_2	12PD6-3_2	12PD7-6_2	metJ-2	relA-2	purT-2	MG1655-3	12PD3-8_3	12PD4-6_3	12PD6-3_3	12PD7-6_3	metJ-3	relA-3	purT-3	fabR-1	clsA-1	yfgF-1	treA-1	acrB-1	metJ-lg-1	metJ-sm-1	fabR-2	clsA-2	yfgF-2	treA-2	acrB-2	metJ-lg-2	metJ-sm-2	fabR-3	clsA-3	yfgF-3	treA-3	acrB-3	metJ-lg-3	metJ-sm-3
36.34067	12.06	63.257	55.509	61.547	67.463	24.585	14.222	17.56	11.382	63.385	59.968	62.617	67.878	27.082	15.888	18.528	14.031	65.586	37.454	62.229	69.042	21.994	14.796	16.489	16.163	18.292	16.689	15.404	21.921	9.492	18.23	13.239	12.697	17.855	16.987	15.687	3.513	17.196	10.593	12.782	13.604	11.042	19.674	2.026	14.294
36.50738	11.826	63.438	55.654	61.452	67.039	24.778	14.417	17.405	11.4	63.079	60.13	62.545	67.393	27.3	16.476	18.508	14.219	64.88	37.246	61.866	68.527	21.855	15.074	16.248	16.376	18.36	16.528	15.166	21.751	9.553	18.27	13.006	12.636	17.755	16.828	15.676	3.307	17.211	10.45	12.663	13.855	10.614	19.793	2.154	14.257
36.67408	11.759	63.238	56.152	61.673	67.871	24.876	14.721	17.913	11.365	63.365	60.38	62.827	67.856	27.715	16.356	18.566	14.413	65.452	37.823	62.01	69.163	22.145	14.523	16.386	16.573	18.502	16.927	15.444	21.928	9.593	18.468	13.224	12.825	18.094	16.855	15.727	3.504	17.606	10.665	12.709	13.588	10.685	19.768	2.358	14.534
36.84064	12.039	63.536	56.565	61.687	67.94	25.125	14.573	17.679	11.616	63.578	60.422	62.84	67.84	27.907	16.208	18.845	14.407	65.122	38.412	62.108	69.089	22.338	15.117	16.922	16.595	18.752	17.063	15.382	22.093	9.645	18.633	13.418	12.848	18.088	17.048	15.835	3.416	17.657	10.431	12.875	13.811	10.737	19.761	2.126	14.643
37.00741	11.968	63.239	56.651	61.737	67.837	25.319	14.929	18.117	11.97	63.392	60.5	62.688	68.105	28.212	16.561	18.964	14.304	65.051	38.528	62.037	69.297	22.539	15.188	16.675	16.689	18.872	16.927	15.508	22.008	9.781	18.583	13.291	12.864	18.011	17.142	15.676	3.478	17.638	10.649	12.834	13.513	10.785	20.22	2.154	14.656
37.17404	12.338	63.096	56.907	61.652	68.036	25.347	15.072	18.145	11.486	63.193	60.642	62.802	68.219	28.44	16.476	19.135	14.475	65.336	38.585	62.322	69.325	22.71	15.444	16.846	16.774	18.958	16.927	15.679	22.178	9.81	19.039	13.376	13.063	18.182	17.313	16.047	3.478	17.98	10.564	12.72	13.712	10.899	20.135	2.24	14.941
37.34079	11.852	63.147	57.178	61.641	68.119	25.729	14.785	18.175	11.657	63.273	60.718	62.794	68.132	28.595	16.362	19.196	14.476	65.217	39.293	62.402	69.495	22.944	15.386	16.876	16.834	18.847	17.244	15.622	22.328	9.461	19.156	13.488	12.804	18.298	17.344	16.303	3.492	18.01	10.731	13.031	13.624	11.236	19.883	2.286	15.796
37.50741	12.093	63.185	57.563	61.767	68.383	26.047	15.425	18.271	11.982	63.196	60.587	62.804	68.509	28.941	17.114	19.262	14.544	65.34	39.603	62.354	69.501	23.151	15.655	17.029	17.043	18.971	17.225	15.776	22.449	9.904	19.28	13.529	13.074	18.451	17.325	16.201	3.569	18.249	10.631	12.845	13.637	10.823	20.205	2.247	15.95
37.6741	12.203	63.029	57.736	61.633	68.406	26.07	15.479	18.045	11.696	63.499	60.768	62.874	68.478	29.196	17.259	19.414	14.431	65.272	39.967	62.315	69.842	23.394	16.053	17.117	17.305	18.977	17.26	15.747	22.549	9.949	19.543	13.696	12.926	18.655	17.473	16.515	3.513	18.452	10.708	13.296	14.032	11.184	20.102	2.454	16.264
37.84067	12.21	63.479	57.935	61.573	68.568	26.181	15.457	18.393	11.673	63.235	61.021	63.012	68.496	29.476	17.349	19.616	14.493	65.208	40.266	62.365	70.117	23.736	15.945	17.236	17.423	19.266	17.52	15.981	22.777	9.902	19.717	13.761	12.991	18.887	17.705	16.691	3.558	18.428	10.774	13.132	13.811	10.823	20.674	2.183	16.07
38.00737	12.294	63.13	58.179	61.819	68.651	26.764	15.741	18.337	11.902	63.23	61.04	62.918	68.609	29.633	17.265	19.677	14.608	65.517	40.892	62.417	70.23	23.944	16.03	17.351	17.54	19.212	17.552	16.067	22.814	10.096	19.835	13.873	13.217	18.776	17.65	16.778	3.602	18.715	10.941	13.215	13.952	11.046	20.709	2.229	16.242
38.17416	12.504	63.166	58.231	61.722	68.732	26.735	16.035	18.424	11.908	62.92	60.969	62.843	68.573	29.884	17.495	19.67	14.697	65.035	40.995	62.391	70.077	23.927	16.379	17.638	17.566	19.464	17.376	15.929	22.883	10.033	19.916	13.94	13.058	18.774	17.734	16.782	3.475	18.914	10.787	12.972	14.02	10.894	20.697	2.094	16.16
38.34079	12.28	62.804	58.661	61.727	69.174	27.069	15.983	18.46	11.828	63.273	61.203	63.05	68.816	29.907	17.845	19.852	14.59	65.16	41.432	62.573	70.236	24.228	16.099	17.503	17.689	19.674	17.643	16.106	22.927	10.402	20.126	13.887	13.146	18.868	17.771	16.931	3.635	19.008	10.902	13.031	14.166	10.979	20.682	2.286	16.195
38.50749	12.221	62.769	58.478	61.803	69.258	27.168	15.925	19.118	11.856	62.468	61.28	62.957	68.644	30.321	18.075	20.0	14.79	65.24	41.83	62.368	70.236	24.436	16.983	17.276	17.721	19.536	17.59	16.135	23.02	10.339	20.159	14.0	13.372	18.985	17.746	16.931	3.593	19.068	10.926	13.228	14.078	11.175	20.916	2.447	16.167
38.67415	12.506	62.769	58.592	61.717	69.315	27.396	16.439	18.719	11.856	62.725	61.365	63.014	68.986	30.549	18.503	20.114	14.79	65.154	42.429	62.368	70.265	24.521	16.669	17.676	17.978	19.878	17.79	16.306	23.22	10.425	20.473	14.428	13.429	19.071	18.231	17.103	3.65	19.296	11.212	13.485	14.164	11.089	20.716	2.133	16.395
38.84081	12.365	62.519	58.89	61.727	69.402	27.668	16.211	19.145	11.942	62.817	60.832	62.879	68.816	30.648	18.13	20.309	14.989	64.818	43.086	62.402	70.408	24.769	16.869	17.874	17.917	19.674	17.757	16.363	23.326	10.26	20.525	14.401	13.517	19.039	18.057	17.102	3.664	19.465	11.187	13.687	14.252	11.094	21.053	2.343	16.452
39.0075	12.41	62.338	59.019	61.744	69.681	27.865	16.342	19.277	12.102	62.807	61.392	62.926	69.124	30.846	18.291	20.357	15.035	64.58	43.006	62.365	70.63	25.134	17.314	17.978	18.279	19.779	17.948	16.323	23.434	10.416	20.802	14.417	13.333	19.23	18.247	17.376	3.587	19.712	11.287	13.646	14.61	11.336	21.016	2.44	16.555
39.17422	12.415	62.525	59.434	61.787	69.697	27.873	16.633	19.198	12.107	62.566	61.322	63.113	69.084	31.083	18.583	20.536	15.041	64.71	43.674	62.523	70.676	25.399	16.721	18.041	18.485	19.986	18.012	16.472	23.555	10.535	20.923	14.451	13.71	19.521	18.482	17.554	3.647	19.889	11.378	13.537	14.501	11.255	21.366	2.529	16.504
39.34086	12.472	62.753	59.291	61.702	69.697	28.33	16.947	19.34	12.307	62.909	61.15	63.056	69.255	31.511	19.154	20.507	15.013	64.682	44.016	62.438	70.505	25.57	17.491	17.756	18.314	19.986	18.126	16.415	23.612	10.449	21.094	14.594	13.681	19.521	18.253	17.525	3.676	19.975	11.35	13.794	14.33	11.598	21.252	2.215	16.761
39.50762	12.494	62.816	59.522	61.848	69.936	28.478	16.627	19.194	12.13	62.516	61.412	63.347	69.323	31.575	18.722	20.82	15.122	64.774	44.634	62.702	71.087	25.629	17.372	17.98	18.568	20.269	18.409	16.695	23.842	10.439	21.349	14.759	13.702	19.604	18.336	17.72	3.659	20.115	11.398	13.644	14.38	11.446	21.309	2.286	16.87
39.67419	12.538	62.526	59.585	61.823	70.088	28.709	17.009	19.741	12.227	62.595	61.298	63.172	69.53	31.573	19.039	20.816	15.073	64.709	44.909	62.407	70.892	25.843	17.353	18.499	18.512	20.268	18.294	16.847	23.745	10.379	21.375	14.8	13.832	19.72	18.452	17.756	3.876	20.288	11.333	13.831	14.795	11.44	21.388	2.411	16.85
39.84087	12.553	62.509	59.505	61.829	70.023	28.863	17.141	19.876	12.53	62.693	61.335	63.183	69.609	31.987	19.233	20.957	15.263	64.466	45.546	62.45	71.172	26.247	17.571	18.063	18.564	20.379	18.519	16.808	24.033	10.701	21.43	14.759	13.79	19.772	18.475	17.861	3.644	20.397	11.487	14.017	14.524	11.422	21.673	2.183	16.983
40.00769	12.607	62.466	59.768	62.01	70.45	29.15	17.456	19.854	12.416	62.595	61.374	63.282	69.694	32.049	19.64	21.112	15.438	64.482	45.836	62.783	71.203	26.411	17.916	18.382	18.944	20.389	18.414	16.868	24.022	10.662	21.641	14.987	13.929	19.751	18.711	17.951	3.846	20.662	11.538	13.871	14.836	11.699	21.83	2.304	17.243
40.17421	12.746	62.657	59.936	62.004	70.262	29.269	17.821	19.759	12.296	62.414	61.396	63.103	69.563	32.252	19.43	21.242	15.373	64.529	46.536	62.486	71.413	26.45	18.08	18.573	18.99	20.491	18.66	17.003	24.291	10.548	21.771	15.124	14.04	20.197	18.844	18.143	3.77	20.623	11.707	14.067	14.86	11.698	21.787	2.454	17.378
40.34101	12.898	62.51	59.898	62.082	70.839	29.387	18.091	19.803	12.422	62.611	61.361	63.069	69.854	32.23	19.704	21.376	15.587	64.384	46.907	62.771	71.391	26.79	18.18	18.532	19.065	20.567	18.621	16.959	24.316	10.809	22.22	15.164	14.192	20.186	18.889	18.186	3.877	20.983	11.8	14.076	14.841	11.99	21.952	2.308	17.507
40.50759	13.031	62.4	59.793	62.09	70.633	29.526	17.621	20.13	12.296	62.243	61.253	63.245	69.82	32.423	20.001	21.441	15.544	64.272	47.364	62.658	71.613	26.935	18.252	18.602	19.104	20.662	18.574	17.118	24.349	10.777	22.257	15.182	14.297	20.14	18.844	18.4	3.742	21.051	11.679	14.153	14.917	11.584	22.301	2.311	17.521
40.67421	12.893	62.18	60.226	62.21	70.879	29.779	18.257	20.14	12.359	62.853	61.717	63.339	70.094	32.306	20.183	21.57	15.695	64.453	47.838	62.84	71.86	27.24	18.374	18.783	19.201	20.789	18.757	17.211	24.566	10.748	22.47	15.301	14.33	20.408	19.083	18.437	3.703	21.177	11.967	14.414	15.036	11.557	22.173	2.133	17.672
40.84099	12.939	62.177	60.024	62.036	70.959	30.076	18.245	20.327	12.491	62.478	61.343	63.308	70.003	32.374	20.513	21.641	15.654	63.993	48.099	62.979	71.74	27.395	18.447	18.942	19.36	20.947	18.944	17.284	24.579	10.881	22.542	15.461	14.262	20.338	19.241	18.625	3.868	21.335	11.899	14.232	15.225	11.861	22.244	2.297	17.803
41.00762	13.087	62.099	60.544	62.242	71.062	30.272	18.481	20.366	12.526	62.401	61.608	63.574	70.02	32.514	20.639	21.884	15.691	64.603	48.689	62.991	71.701	27.501	18.827	19.209	19.486	21.074	18.87	17.349	24.682	10.938	22.67	15.439	14.438	20.435	19.195	18.662	3.972	21.547	12.159	14.293	15.058	11.977	22.231	2.319	17.868
41.17425	12.992	62.369	60.448	62.145	70.942	30.308	18.865	20.374	12.484	62.097	61.337	63.328	70.043	32.462	20.73	21.77	15.789	64.241	48.966	62.625	71.749	27.604	18.925	18.904	19.434	21.334	19.132	17.363	24.847	10.853	22.928	15.598	14.371	20.698	19.287	18.816	3.736	21.552	12.182	14.228	15.163	11.774	22.287	2.218	17.88
41.34101	12.811	62.302	60.574	62.158	71.296	30.605	18.665	20.922	12.652	62.261	61.495	63.605	70.369	32.533	20.538	22.128	15.789	64.32	49.659	63.138	72.165	27.975	19.298	19.107	19.843	21.459	19.256	17.705	25.155	10.861	23.257	16.023	14.62	20.62	19.437	18.989	3.778	21.704	12.284	14.533	15.527	12.016	22.56	2.669	18.11
41.50768	13.139	62.177	60.567	62.094	71.245	30.647	18.788	20.87	12.633	62.306	61.544	63.508	70.26	32.46	20.97	22.184	15.94	64.164	50.014	62.894	71.997	28.167	19.248	19.342	19.731	21.576	19.201	17.57	25.179	10.738	23.228	15.919	14.605	20.738	19.499	19.053	3.868	21.735	12.242	14.66	15.225	12.033	22.702	2.383	18.232
41.67429	12.986	61.954	60.718	61.959	71.581	30.955	18.916	20.825	12.592	62.11	61.493	63.313	69.968	32.596	20.809	22.191	16.069	64.168	50.352	62.809	71.789	28.281	19.461	19.525	19.912	21.327	19.325	17.671	25.182	10.849	23.406	15.878	14.566	20.948	19.509	19.152	3.847	22.03	12.291	14.879	15.158	12.026	22.85	2.358	18.359
41.84108	13.088	61.658	60.678	62.118	71.519	30.811	19.163	20.93	12.61	62.129	61.282	63.188	70.248	32.709	21.372	22.412	16.087	63.93	50.62	62.6	72.127	28.477	19.994	19.402	19.961	21.348	19.402	17.603	25.12	10.863	23.627	15.981	14.811	20.883	19.615	19.085	3.827	22.136	12.478	14.581	15.546	12.013	22.644	2.226	18.606
42.00768	13.139	62.006	60.51	62.236	71.588	31.076	19.188	20.784	12.948	62.192	61.601	63.422	70.517	32.745	21.828	22.47	16.226	63.936	51.329	62.837	72.168	28.625	19.848	19.685	20.246	21.633	19.43	17.799	25.322	10.824	23.657	16.09	14.69	21.024	19.756	19.282	4.011	22.278	12.585	14.775	15.368	11.975	23.016	2.383	18.632
42.17424	13.122	62.045	60.665	62.276	71.707	31.22	19.226	20.936	12.787	62.43	61.469	63.518	70.465	33.146	21.436	22.677	16.179	63.86	51.547	63.045	72.373	28.914	19.972	19.722	20.311	21.869	19.438	17.981	25.584	10.696	23.977	16.158	15.074	21.432	19.85	19.491	3.916	22.486	12.626	15.015	15.466	12.218	22.88	2.572	18.613
42.34099	13.1	61.868	60.861	62.13	71.838	31.098	19.23	21.053	12.821	61.853	61.493	63.484	70.454	33.281	21.808	22.676	16.44	63.882	51.837	62.894	72.217	29.166	20.203	19.725	20.426	21.841	19.496	18.042	25.525	11.134	24.034	16.449	14.794	21.12	19.937	19.58	3.904	22.544	12.777	15.05	15.243	11.769	23.136	2.472	18.873
42.50777	13.015	61.554	60.804	62.415	71.724	31.212	19.915	21.766	12.849	62.11	61.521	63.484	70.454	33.395	22.122	22.904	16.411	64.082	52.493	63.037	72.246	29.309	20.231	20.239	20.426	22.012	19.838	18.184	25.782	10.934	24.376	16.392	15.251	21.148	20.023	19.837	3.99	22.801	12.919	15.05	15.786	11.998	23.392	2.272	18.93
42.67436	13.203	61.315	60.907	62.09	71.947	31.383	20.02	21.187	12.867	61.957	61.653	63.617	70.334	33.537	22.314	23.012	16.515	64.101	52.647	63.029	72.355	29.42	20.394	20.087	20.561	21.719	19.659	17.974	25.891	10.863	24.427	16.495	15.011	21.397	20.015	19.771	3.913	22.822	12.935	15.324	15.688	12.298	23.386	2.226	18.978
42.84111	13.357	61.726	60.775	62.33	71.838	31.755	20.115	21.595	12.906	61.682	61.322	63.455	70.454	33.652	22.208	23.104	16.325	63.454	53.064	62.866	72.331	29.594	20.517	20.153	20.426	22.269	19.895	18.099	26.038	10.677	24.576	16.478	15.336	21.576	20.166	19.922	3.932	23.001	12.948	15.164	15.786	12.112	23.449	2.386	19.187
43.00778	13.334	61.876	60.724	62.25	71.999	31.724	20.353	21.864	13.028	61.947	61.357	63.578	70.5	33.994	22.735	23.406	16.449	63.663	53.545	63.078	72.465	29.931	21.128	20.307	20.81	22.397	20.109	18.336	25.829	10.791	24.707	16.656	15.342	21.817	20.321	19.962	4.037	23.1	13.151	15.312	15.905	12.628	23.58	2.408	19.254
43.17432	13.539	61.712	60.958	62.341	72.046	32.123	20.364	21.962	13.006	61.613	61.306	63.644	70.604	34.022	22.549	23.393	16.686	63.671	53.798	63.175	72.456	29.982	20.595	20.518	20.623	22.354	20.094	18.287	25.99	10.933	24.895	16.778	15.376	21.716	20.333	20.058	4.055	23.343	13.155	15.375	15.911	12.344	23.711	2.315	19.35
43.34116	13.413	61.509	60.956	62.311	72.011	32.305	20.351	22.062	13.051	61.725	61.218	63.469	70.569	34.203	22.936	23.522	16.845	63.354	53.942	63.057	72.678	30.194	20.754	20.419	20.953	22.512	20.223	18.275	26.146	10.724	25.137	16.794	15.565	21.873	20.405	20.245	4.02	23.386	13.345	15.535	16.071	12.419	23.467	2.508	19.423
43.50774	13.477	61.37	61.047	62.316	72.398	32.278	20.321	22.087	13.198	61.926	61.423	63.671	70.614	34.318	23.042	23.654	16.874	63.755	54.362	63.082	72.606	30.288	21.38	20.674	20.861	22.562	20.416	18.533	26.218	10.625	25.269	16.797	15.513	22.04	20.258	20.186	4.164	23.436	13.353	15.369	16.02	12.288	23.657	2.218	19.45
43.67447	13.39	61.545	60.847	62.46	72.345	32.676	21.048	22.103	13.374	61.991	61.368	63.793	70.73	34.632	22.864	23.939	16.683	63.219	54.54	63.155	72.784	30.761	21.452	20.803	21.224	22.898	20.523	18.799	26.538	10.751	25.613	17.317	15.571	22.344	20.647	20.456	4.067	23.773	13.52	15.541	16.048	12.25	23.999	2.329	19.748
43.84113	13.705	61.541	60.99	62.259	72.483	32.706	21.035	22.601	13.341	61.926	61.451	63.728	70.699	34.746	23.642	24.168	16.874	63.327	54.933	63.139	72.606	30.802	21.637	20.788	21.146	22.533	20.53	18.79	26.56	10.853	25.754	17.14	15.742	22.325	20.772	20.5	3.935	23.864	13.638	15.455	16.048	12.631	24.171	2.532	19.793
44.00776	13.528	61.383	60.889	62.33	72.637	32.811	21.285	22.223	13.277	61.824	61.493	63.741	71.024	34.736	23.578	24.075	16.925	63.197	55.119	63.151	72.931	30.993	21.83	20.924	21.311	22.811	20.438	18.869	26.638	10.877	25.946	17.448	15.793	22.461	21.05	20.607	4.018	24.028	13.718	15.877	16.299	12.54	24.306	2.472	20.043
44.17456	13.694	61.796	60.96	62.486	72.705	33.258	21.164	22.53	13.443	61.837	61.563	63.868	70.836	34.869	24.255	24.267	16.919	63.524	55.647	63.335	72.77	31.184	21.908	20.774	21.475	22.804	20.659	18.949	26.887	10.701	25.91	17.271	15.901	22.711	20.929	20.744	4.101	24.106	13.856	16.043	16.408	12.592	24.469	2.525	19.979
44.34113	13.848	61.664	60.971	62.697	72.653	33.229	21.401	22.595	13.596	61.704	61.545	63.763	71.183	35.211	24.062	24.387	16.928	63.335	55.748	63.258	73.06	31.557	22.145	21.353	21.767	23.011	20.923	19.044	26.948	10.744	26.4	17.623	16.027	22.775	21.108	20.752	4.063	24.427	13.782	15.94	16.248	12.748	24.475	2.6	20.302
44.50783	13.848	61.33	60.981	62.535	72.481	33.467	21.681	22.561	13.395	61.427	61.44	63.941	70.926	35.419	24.11	24.633	17.039	63.314	55.877	63.376	73.057	31.512	21.939	21.205	21.503	23.317	20.944	19.069	26.936	10.75	26.446	17.478	16.339	22.74	21.073	20.861	4.047	24.618	13.983	16.025	16.219	12.665	24.436	2.525	20.183
44.67454	13.808	61.139	61.017	62.486	72.877	33.771	21.878	22.701	13.528	61.666	61.335	64.067	71.064	35.326	23.97	24.666	17.033	63.125	56.161	63.392	73.113	31.697	22.765	21.716	21.646	23.118	21.087	19.063	27.172	10.701	26.623	17.613	16.215	22.968	21.186	21.029	4.101	24.677	14.17	16.129	16.665	12.706	24.726	2.554	20.407
44.84113	14.048	61.55	61.142	62.583	72.824	34.028	22.086	22.937	13.681	61.704	61.688	64.049	71.126	35.582	24.689	25.042	17.185	63.078	56.518	63.258	73.117	32.013	22.658	21.524	21.767	23.296	21.008	19.186	27.376	10.773	26.885	17.709	16.312	23.146	21.251	21.18	4.348	24.854	14.238	16.282	16.676	12.919	24.788	2.457	20.558
45.00784	14.031	61.133	61.097	62.565	72.943	34.084	22.55	22.917	13.834	61.828	61.642	64.229	71.359	35.809	24.724	24.991	17.308	62.917	56.561	63.465	73.178	32.214	22.78	21.76	22.002	23.16	21.158	19.253	27.551	10.816	26.861	17.833	16.437	23.296	21.429	21.16	4.082	24.918	14.222	16.293	16.544	12.846	24.765	2.618	20.681
45.17459	14.241	61.152	61.004	62.557	72.803	34.206	22.352	23.117	13.501	61.76	61.12	64.103	71.107	35.702	24.777	25.128	17.285	62.879	56.732	63.193	73.179	32.085	22.838	21.876	22.03	23.216	20.929	19.287	27.457	10.95	27.11	17.698	16.418	23.153	21.8	21.333	4.2	25.2	14.262	16.218	16.583	12.634	24.675	2.389	20.74
45.34129	14.082	61.192	60.873	62.739	72.865	34.347	22.701	23.04	13.881	61.826	61.473	64.226	71.254	35.986	25.011	25.446	17.494	62.861	56.86	63.457	73.041	32.229	23.158	21.883	22.093	23.422	21.135	19.353	27.773	10.708	27.427	18.106	16.485	23.359	21.693	21.342	4.105	25.433	14.53	16.286	16.935	12.704	24.737	2.492	20.948
45.50795	14.076	61.179	60.829	62.697	73.024	34.57	22.086	23.223	13.824	61.961	61.46	64.191	71.383	36.266	25.288	25.527	17.441	62.992	57.145	63.771	73.459	32.526	23.0	22.037	22.366	23.467	21.322	19.386	27.832	10.744	27.626	18.136	16.568	23.488	21.707	21.608	4.006	25.539	14.352	16.596	16.904	12.776	25.273	2.457	21.129
45.6746	13.934	61.015	60.896	62.818	72.845	34.715	22.887	23.396	14.072	61.392	61.239	64.047	70.951	36.183	25.335	25.484	17.739	62.91	57.201	63.303	73.276	32.687	23.456	22.098	22.249	23.492	21.348	19.428	27.781	10.908	27.72	18.154	16.535	23.6	21.793	21.557	4.03	25.643	14.581	16.506	16.644	12.815	25.06	2.442	21.248
45.84123	14.098	61.141	60.881	62.746	73.226	34.705	22.795	23.218	13.895	61.632	61.394	64.23	71.218	36.429	25.469	25.76	17.534	62.894	57.045	63.457	73.202	32.962	23.449	22.261	22.724	23.541	21.426	19.592	28.028	10.988	27.797	18.346	16.842	23.735	21.871	21.72	3.942	25.863	14.831	16.557	16.866	12.981	25.024	2.382	21.326
46.00793	14.389	61.347	60.772	62.724	73.075	34.963	23.092	23.63	13.932	61.612	61.372	64.04	71.237	36.403	25.43	25.807	17.573	62.845	57.471	63.526	73.478	33.073	23.663	22.303	22.456	23.784	21.583	19.546	28.135	10.789	28.045	18.526	16.792	23.864	21.942	21.733	4.13	26.022	14.695	16.792	16.816	12.926	25.156	2.631	21.538
